tonality,vector_means
9.0,-213.35411071777344
9.0,-175.07464599609375
8.0,-88.84970092773438
9.0,-70.93582916259766
8.0,-541.040771484375
10.0,-416.0263671875
3.0,-406.5086975097656
7.0,-181.5072784423828
8.0,-307.6706848144531
7.0,-200.12081909179688
9.0,-541.03662109375
9.0,-300.1534118652344
9.0,-141.30738830566406
10.0,-315.9264221191406
10.0,-104.19671630859375
8.0,-198.74737548828125
8.0,-219.71124267578125
8.0,-303.1737060546875
9.0,-373.863037109375
7.0,-288.303466796875
9.0,-239.03265380859375
9.0,-590.8594360351562
9.0,-81.18766784667969
8.0,-298.2660217285156
5.0,-67.59256744384766
8.0,-248.5026092529297
8.0,-133.12144470214844
8.0,-430.2400817871094
8.0,-281.3511962890625
10.0,-287.71954345703125
8.0,-39.758907318115234
9.0,-251.75743103027344
4.0,-465.48846435546875
9.0,-104.27000427246094
7.0,-198.7636260986328
8.0,-442.6416320800781
9.0,-424.8438720703125
9.0,-86.66517639160156
2.0,-301.5827331542969
10.0,-17.629974365234375
9.0,-184.10325622558594
9.0,-269.4067687988281
5.0,-562.335693359375
9.0,-225.9828338623047
9.0,-645.9068603515625
10.0,-204.3621063232422
9.0,-94.32492065429688
9.0,-227.9274444580078
9.0,-64.41228485107422
8.0,-172.4156036376953
10.0,-94.91669464111328
6.0,-381.4740295410156
8.0,-33.97532272338867
7.0,-266.7729797363281
6.0,-80.24600982666016
1.0,-874.7216796875
1.0,-515.029541015625
1.0,-825.6753540039062
7.0,-619.4844970703125
8.0,-440.8963928222656
10.0,-1227.1739501953125
5.0,-748.2144165039062
8.0,-1771.4114990234375
8.0,-311.10443115234375
8.0,-76.54180908203125
8.0,-112.29439544677734
10.0,-152.34136962890625
5.0,-138.56666564941406
5.0,-3308.73681640625
9.0,-615.0120239257812
9.0,-258.88623046875
10.0,-14.162147521972656
10.0,-165.6876220703125
10.0,-226.75396728515625
6.0,-212.65890502929688
8.0,-93.16004943847656
10.0,-114.74591827392578
10.0,-379.68902587890625
10.0,-93.96626281738281
7.0,-143.239013671875
9.0,-115.22323608398438
8.0,-160.856201171875
10.0,-35.875396728515625
10.0,-232.55422973632812
9.0,-378.1813049316406
8.0,-530.7967529296875
10.0,-410.5709533691406
8.0,-168.4247589111328
10.0,-370.6220703125
10.0,-28.463603973388672
9.0,-121.48483276367188
10.0,-265.82373046875
9.0,-44.654624938964844
9.0,-163.17662048339844
10.0,-382.3304748535156
10.0,-433.9622497558594
10.0,-77.06068420410156
9.0,-359.6880187988281
9.0,-593.0321655273438
9.0,-337.59967041015625
10.0,-147.99615478515625
9.0,-278.4334411621094
9.0,-395.3492126464844
9.0,-107.18817901611328
10.0,-60.937660217285156
8.0,-53.43285369873047
8.0,-231.49746704101562
9.0,-125.68126678466797
10.0,-447.644287109375
7.0,-141.5739288330078
8.0,-211.4989013671875
9.0,-39.40871810913086
5.0,-126.81803894042969
8.0,-127.76188659667969
10.0,-288.65155029296875
10.0,-339.85089111328125
10.0,-12.462783813476562
6.0,-212.355712890625
10.0,-106.47258758544922
8.0,-666.84326171875
10.0,-1124.8701171875
9.0,-937.6885986328125
7.0,-282.1083984375
9.0,-223.6231231689453
9.0,-76.19165802001953
6.0,-1042.2200927734375
8.0,-387.8539123535156
7.0,-243.4833526611328
9.0,-210.81251525878906
3.0,-549.5314331054688
9.0,-395.3172607421875
10.0,-461.0681457519531
9.0,-322.33355712890625
7.0,-217.40663146972656
10.0,-131.73390197753906
10.0,-279.2628479003906
8.0,-156.1649932861328
10.0,-10.333059310913086
8.0,-137.40196228027344
4.0,-761.2129516601562
9.0,-124.85525512695312
9.0,-428.2799987792969
8.0,-925.3236083984375
9.0,-170.43673706054688
7.0,-71.533447265625
5.0,-57.9556884765625
6.0,-42.93038558959961
9.0,-99.82664489746094
8.0,-104.79537200927734
10.0,-371.0570983886719
9.0,-12.868938446044922
1.0,-599.5361328125
9.0,-21.10166358947754
10.0,-730.9859008789062
8.0,-111.52653503417969
9.0,-93.13457489013672
10.0,-282.8575439453125
5.0,-728.2392578125
9.0,-779.657470703125
9.0,-312.02215576171875
9.0,-279.40557861328125
10.0,-418.3938293457031
10.0,-328.3079833984375
10.0,-465.8232421875
8.0,-18.650827407836914
10.0,-370.37744140625
8.0,-35.26551055908203
9.0,-478.0928649902344
10.0,-441.2668151855469
10.0,-412.5314025878906
9.0,-140.48716735839844
10.0,-319.88671875
10.0,-473.51385498046875
9.0,-67.1015853881836
7.0,-125.51334381103516
9.0,-318.083251953125
10.0,-378.9696960449219
9.0,-63.96516036987305
8.0,-676.7921142578125
9.0,-450.59564208984375
9.0,-846.5855712890625
10.0,-350.4233093261719
10.0,-492.3148498535156
10.0,-218.94752502441406
10.0,-16.21950340270996
10.0,-222.82098388671875
10.0,-367.81475830078125
10.0,-224.1414794921875
10.0,-6.793257713317871
10.0,-4586.16650390625
1.0,-797.0333251953125
10.0,-191.7285614013672
10.0,-232.7461700439453
10.0,-348.8708801269531
5.0,-732.1566162109375
10.0,-543.7855834960938
10.0,-361.10205078125
1.0,-262.6101379394531
10.0,-434.54058837890625
10.0,-242.83053588867188
10.0,-2346.13818359375
9.0,-216.7730255126953
9.0,-115.71820068359375
10.0,-1141.9344482421875
10.0,-1477.1829833984375
10.0,-50.423038482666016
10.0,-698.39453125
10.0,-972.9639892578125
10.0,-288.30218505859375
10.0,-1991.95166015625
10.0,-79.4322280883789
10.0,-280.37689208984375
3.0,-496.97845458984375
9.0,-187.70193481445312
10.0,-237.0253448486328
6.0,-1571.6107177734375
6.0,-209.32498168945312
8.0,-315.5050964355469
6.0,-402.5866394042969
10.0,-14.657468795776367
7.0,-39.5765266418457
9.0,-296.9603271484375
10.0,-376.1677551269531
10.0,-119.79515838623047
8.0,-152.16542053222656
4.0,-512.4916381835938
8.0,-523.8844604492188
9.0,-248.21189880371094
10.0,-444.95855712890625
8.0,-583.877197265625
3.0,-677.3082275390625
7.0,-249.2030487060547
3.0,-294.0978088378906
10.0,-503.52130126953125
8.0,-920.6766357421875
9.0,-634.5433959960938
9.0,-338.7943115234375
2.0,-203.85418701171875
7.0,-664.32568359375
9.0,-622.0564575195312
9.0,-532.9846801757812
8.0,-1764.125
7.0,-180.43040466308594
2.0,-205.3470458984375
6.0,-1041.82373046875
10.0,-272.45892333984375
2.0,-509.0443115234375
7.0,-778.4410400390625
10.0,-1534.6572265625
5.0,-276.49761962890625
7.0,-1757.564453125
9.0,-471.59564208984375
5.0,-420.4914245605469
4.0,-410.2778625488281
9.0,-1345.25341796875
10.0,-113.00431823730469
8.0,-2049.904541015625
9.0,-1111.993408203125
